Networks,edeg density,min degree,max degree,diameter,degree assortativity coef,# cliques,Avg clustering coeff,MACC (k=5),MACC (k=10),MACC (k=20),MACC (k=30)
Caltech36-Simmons81,0.851,0.583,0.751,0.782,0.604,0.792,0.799,0.891,0.948,0.968,0.957
Caltech36-Reed98,0.821,0.655,0.699,0.825,0.629,0.693,0.683,0.769,0.877,0.898,0.911
Caltech36-NYU9,0.91,0.577,0.821,0.791,0.651,0.743,0.832,0.933,0.956,0.955,0.949
Caltech36-Virginia63,0.854,0.562,0.763,0.833,0.634,0.703,0.779,0.899,0.942,0.927,0.918
Caltech36-UCLA26,0.865,0.644,0.799,0.886,0.619,0.76,0.785,0.918,0.966,0.962,0.959
Caltech36-Wisconsin87,0.867,0.632,0.769,0.811,0.674,0.732,0.772,0.911,0.919,0.917,0.898
Simmons81-Reed98,0.841,0.665,0.798,0.792,0.615,0.762,0.767,0.89,0.926,0.922,0.922
Simmons81-NYU9,0.892,0.624,0.812,0.812,0.729,0.739,0.799,0.921,0.896,0.912,0.902
Simmons81-Virginia63,0.832,0.569,0.714,0.792,0.662,0.703,0.746,0.892,0.943,0.94,0.945
Simmons81-UCLA26,0.89,0.613,0.761,0.882,0.549,0.787,0.839,0.919,0.949,0.964,0.953
Simmons81-Wisconsin87,0.842,0.605,0.724,0.799,0.589,0.748,0.705,0.939,0.956,0.96,0.968
Reed98-NYU9,0.845,0.592,0.731,0.807,0.674,0.683,0.73,0.888,0.926,0.941,0.943
Reed98-Virginia63,0.862,0.586,0.781,0.84,0.67,0.739,0.812,0.924,0.95,0.968,0.948
Reed98-UCLA26,0.801,0.541,0.688,0.765,0.582,0.69,0.77,0.882,0.937,0.911,0.907
Reed98-Wisconsin87,0.841,0.6,0.718,0.82,0.609,0.733,0.697,0.914,0.94,0.904,0.928
NYU9-Virginia63,0.822,0.628,0.677,0.782,0.631,0.714,0.716,0.862,0.924,0.927,0.93
NYU9-UCLA26,0.871,0.519,0.809,0.78,0.592,0.768,0.847,0.89,0.933,0.938,0.925
NYU9-Wisconsin87,0.879,0.652,0.794,0.856,0.683,0.751,0.701,0.913,0.939,0.942,0.959
Virginia63-UCLA26,0.885,0.494,0.765,0.791,0.692,0.713,0.731,0.881,0.865,0.886,0.87
Virginia63-Wisconsin87,0.808,0.578,0.698,0.828,0.622,0.711,0.711,0.849,0.921,0.941,0.943
UCLA26-Wisconsin87,0.826,0.57,0.739,0.782,0.551,0.767,0.778,0.894,0.892,0.912,0.898